condition_key,graph_id,evidence_level,D1_target_degree,D2_neighbor_coupling,D3_remote_class,S2_count,e12,e22,radius,rho_sensitivity,beta_sensitivity,cross_axis_js,diagnostic_score
RG066_medium,RG066,medium,4,2,D3-2:strong-remote,1,3,0,2,0.00035,0.001483,0.001687,0.002037
RG066_low,RG066,low,4,2,D3-2:strong-remote,1,3,0,2,9e-06,5.3e-05,5.6e-05,6.5e-05
RG067_high,RG067,high,4,2,D3-2:strong-remote,1,2,0,2,0.001861,0.011171,0.012455,0.014316
RG067_medium,RG067,medium,4,2,D3-2:strong-remote,1,2,0,2,0.000486,0.001953,0.002314,0.0028
RG067_low,RG067,low,4,2,D3-2:strong-remote,1,2,0,2,1.5e-05,6.8e-05,8e-05,9.5e-05
RG068_high,RG068,high,4,2,D3-1:tree-like-remote,1,1,0,2,0.001538,0.009945,0.011006,0.012544
RG068_medium,RG068,medium,4,2,D3-1:tree-like-remote,1,1,0,2,0.000316,0.00138,0.001621,0.001937
RG068_low,RG068,low,4,2,D3-1:tree-like-remote,1,1,0,2,6e-06,3.7e-05,4.2e-05,4.8e-05
RG069_high,RG069,high,4,1,D3-1:tree-like-remote,1,1,0,2,0.001888,0.000624,0.002481,0.003105
RG069_medium,RG069,medium,4,1,D3-1:tree-like-remote,1,1,0,2,0.000117,2.7e-05,0.000143,0.00017
RG069_low,RG069,low,4,1,D3-1:tree-like-remote,1,1,0,2,4e-06,0.0,4e-06,4e-06
RG070_high,RG070,high,4,1,D3-2:strong-remote,1,2,0,2,0.001473,0.007153,0.008515,0.009988
RG070_medium,RG070,medium,4,1,D3-2:strong-remote,1,2,0,2,0.000385,0.000978,0.001348,0.001733
RG070_low,RG070,low,4,1,D3-2:strong-remote,1,2,0,2,2.9e-05,6.3e-05,9.1e-05,0.00012
RG071_high,RG071,high,4,2,D3-2:strong-remote,1,2,0,2,0.001974,0.008201,0.009997,0.011971
RG071_medium,RG071,medium,4,2,D3-2:strong-remote,1,2,0,2,0.000536,0.001529,0.002029,0.002565
RG071_low,RG071,low,4,2,D3-2:strong-remote,1,2,0,2,3.2e-05,8.5e-05,0.000116,0.000148
RG072_high,RG072,high,4,2,D3-2:strong-remote,1,3,0,2,0.00288,0.013808,0.015987,0.018867
RG072_medium,RG072,medium,4,2,D3-2:strong-remote,1,3,0,2,0.000663,0.002072,0.002605,0.003268
RG072_low,RG072,low,4,2,D3-2:strong-remote,1,3,0,2,3.7e-05,0.00011,0.000143,0.00018
RG073_high,RG073,high,4,2,D3-2:strong-remote,1,4,0,2,0.002982,0.014186,0.016408,0.019389
RG073_medium,RG073,medium,4,2,D3-2:strong-remote,1,4,0,2,0.00077,0.002326,0.002884,0.003654
RG073_low,RG073,low,4,2,D3-2:strong-remote,1,4,0,2,4.9e-05,0.000139,0.000175,0.000224
RG074_high,RG074,high,4,1,D3-2:strong-remote,1,3,0,2,0.00297,0.015374,0.017352,0.020322
RG074_medium,RG074,medium,4,1,D3-2:strong-remote,1,3,0,2,0.000789,0.002351,0.002996,0.003785
RG074_low,RG074,low,4,1,D3-2:strong-remote,1,3,0,2,4.1e-05,0.000115,0.00015,0.000191
RG075_high,RG075,high,4,1,D3-2:strong-remote,1,4,0,2,0.002981,0.015513,0.017387,0.020368
RG075_medium,RG075,medium,4,1,D3-2:strong-remote,1,4,0,2,0.000767,0.00235,0.00291,0.003677
RG075_low,RG075,low,4,1,D3-2:strong-remote,1,4,0,2,4e-05,0.000118,0.000148,0.000188
RG076_high,RG076,high,4,2,D3-1:tree-like-remote,1,1,0,2,0.00148,0.006936,0.008227,0.009707
RG076_medium,RG076,medium,4,2,D3-1:tree-like-remote,1,1,0,2,0.000169,0.000703,0.000839,0.001008
RG076_low,RG076,low,4,2,D3-1:tree-like-remote,1,1,0,2,4e-06,2.1e-05,2.4e-05,2.8e-05
RG077_high,RG077,high,4,2,D3-2:strong-remote,1,2,0,2,0.001966,0.008503,0.010202,0.012168
RG077_medium,RG077,medium,4,2,D3-2:strong-remote,1,2,0,2,0.000298,0.001109,0.001336,0.001633
RG077_low,RG077,low,4,2,D3-2:strong-remote,1,2,0,2,9e-06,4.3e-05,4.9e-05,5.9e-05
RG078_high,RG078,high,4,1,D3-2:strong-remote,1,2,0,2,0.002203,0.012746,0.014161,0.016364
RG078_medium,RG078,medium,4,1,D3-2:strong-remote,1,2,0,2,0.000353,0.001314,0.00158,0.001933
RG078_low,RG078,low,4,1,D3-2:strong-remote,1,2,0,2,1.2e-05,4.7e-05,5.6e-05,6.8e-05
RG079_high,RG079,high,4,1,D3-2:strong-remote,1,3,0,2,0.002787,0.014506,0.016371,0.019158
RG079_medium,RG079,medium,4,1,D3-2:strong-remote,1,3,0,2,0.000506,0.001717,0.002092,0.002598
RG079_low,RG079,low,4,1,D3-2:strong-remote,1,3,0,2,1.9e-05,7e-05,8.3e-05,0.000102
