graph_id,evidence_level,family,p_R,p_G,p_B
RG020,medium,M_rho,0.290419,0.44912,0.26046
RG020,medium,"M_rho,beta",0.284385,0.448845,0.26677
RG020,medium,M_star,0.186535,0.626929,0.186535
RG020,medium,M_cluster,0.313917,0.420847,0.265237
RG020,low,M_exact,0.326071,0.351212,0.322717
RG020,low,M_0,0.316292,0.367417,0.316292
RG020,low,M_rho,0.322916,0.35644,0.320644
RG020,low,"M_rho,beta",0.322201,0.357018,0.320781
RG020,low,M_star,0.301642,0.396717,0.301642
RG020,low,M_cluster,0.326071,0.351212,0.322717
RG021,high,M_exact,0.245422,0.398333,0.356245
RG021,high,M_0,0.098391,0.803217,0.098391
RG021,high,M_rho,0.154743,0.627158,0.218098
RG021,high,"M_rho,beta",0.157321,0.651121,0.191558
RG021,high,M_star,0.026872,0.946257,0.026872
RG021,high,M_cluster,0.195287,0.393539,0.411174
RG021,medium,M_exact,0.285579,0.36065,0.353771
RG021,medium,M_0,0.252817,0.494367,0.252817
RG021,medium,M_rho,0.271993,0.404762,0.323244
RG021,medium,"M_rho,beta",0.271994,0.42211,0.305896
RG021,medium,M_star,0.186535,0.626929,0.186535
RG021,medium,M_cluster,0.24555,0.335285,0.419165
RG021,low,M_exact,0.318435,0.341526,0.340039
RG021,low,M_0,0.316292,0.367417,0.316292
RG021,low,M_rho,0.317384,0.349383,0.333233
RG021,low,"M_rho,beta",0.318464,0.352618,0.328918
RG021,low,M_star,0.301642,0.396717,0.301642
RG021,low,M_cluster,0.305845,0.330067,0.364087
RG022,high,M_exact,0.303473,0.393054,0.303473
RG022,high,M_0,0.098391,0.803217,0.098391
RG022,high,M_rho,0.182549,0.634902,0.182549
RG022,high,"M_rho,beta",0.170257,0.659485,0.170257
RG022,high,M_star,0.026872,0.946257,0.026872
RG022,high,M_cluster,0.306356,0.387289,0.306356
RG022,medium,M_exact,0.320325,0.359349,0.320325
RG022,medium,M_0,0.252817,0.494367,0.252817
RG022,medium,M_rho,0.303082,0.393836,0.303082
RG022,medium,"M_rho,beta",0.292302,0.415395,0.292302
RG022,medium,M_star,0.186535,0.626929,0.186535
RG022,medium,M_cluster,0.344169,0.311662,0.344169
RG022,low,M_exact,0.329908,0.340184,0.329908
RG022,low,M_0,0.316292,0.367417,0.316292
RG022,low,M_rho,0.3272,0.3456,0.3272
RG022,low,"M_rho,beta",0.325111,0.349778,0.325111
RG022,low,M_star,0.301642,0.396717,0.301642
RG022,low,M_cluster,0.342461,0.315077,0.342461
RG023,high,M_exact,0.312291,0.375419,0.312291
RG023,high,M_0,0.098391,0.803217,0.098391
RG023,high,M_rho,0.179009,0.641982,0.179009
RG023,high,"M_rho,beta",0.169411,0.661177,0.169411
RG023,high,M_star,0.026872,0.946257,0.026872
RG023,high,M_cluster,0.252722,0.494556,0.252722
RG023,medium,M_exact,0.321797,0.356406,0.321797
RG023,medium,M_0,0.252817,0.494367,0.252817
RG023,medium,M_rho,0.301461,0.397078,0.301461
RG023,medium,"M_rho,beta",0.291351,0.417297,0.291351
RG023,medium,M_star,0.186535,0.626929,0.186535
RG023,medium,M_cluster,0.305835,0.38833,0.305835
RG023,low,M_exact,0.327167,0.345666,0.327167
RG023,low,M_0,0.316292,0.367417,0.316292
RG023,low,M_rho,0.32644,0.34712,0.32644
RG023,low,"M_rho,beta",0.324703,0.350595,0.324703
RG023,low,M_star,0.301642,0.396717,0.301642
RG023,low,M_cluster,0.327923,0.344154,0.327923
RG024,high,M_exact,0.408932,0.537485,0.053583
RG024,high,M_0,0.098391,0.803217,0.098391
RG024,high,M_rho,0.176525,0.755164,0.068311
RG024,high,"M_rho,beta",0.169678,0.718724,0.111598
RG024,high,M_star,0.0742,0.60573,0.32007
RG024,high,M_cluster,0.223122,0.654529,0.122349
RG024,medium,M_exact,0.389558,0.407971,0.202471
RG024,medium,M_0,0.252817,0.494367,0.252817
RG024,medium,M_rho,0.317587,0.471906,0.210507
RG024,medium,"M_rho,beta",0.300163,0.467907,0.23193
RG024,medium,M_star,0.213941,0.418347,0.367712
RG024,medium,M_cluster,0.429842,0.315957,0.254201
RG024,low,M_exact,0.34788,0.351266,0.300854
RG024,low,M_0,0.316292,0.367417,0.316292
RG024,low,M_rho,0.333575,0.364009,0.302417
RG024,low,"M_rho,beta",0.328764,0.362852,0.308384
RG024,low,M_star,0.303598,0.352672,0.343729
RG024,low,M_cluster,0.378624,0.315821,0.305555
RG025,high,M_exact,0.379291,0.519074,0.101635
