graph_id,evidence_level,selected_in_analysis_3,n_nodes,D1_target_degree,D2_neighbor_coupling,D3_remote_class,S2_count,e12,e22,radius,mean_js_all_pairs,min_js_all_pairs,mean_tv_all_pairs,exact_vs_rho_js,rho_vs_star_js,star_vs_cluster_js,exact_vs_star_js,cluster_vs_exact_js,M0_vs_nonlocal_mean_js
RG044,low,False,6,4,2,D3-1:tree-like-remote,1,1,0,2,0.00043,0.0,0.022981,4e-05,0.001052,0.001502,0.001502,0.0,0.000248
RG045,high,False,6,4,3,D3-1:tree-like-remote,1,1,0,2,0.078065,0.0,0.313893,0.022354,0.140797,0.258355,0.258355,0.0,0.05094
RG045,medium,False,6,4,3,D3-1:tree-like-remote,1,1,0,2,0.014223,0.0,0.136781,0.003242,0.026135,0.047298,0.047298,0.0,0.009889
RG045,low,False,6,4,3,D3-1:tree-like-remote,1,1,0,2,0.000465,0.0,0.023762,6.4e-05,0.001039,0.001615,0.001615,0.0,0.000276
RG046,high,False,6,4,3,D3-2:strong-remote,1,2,0,2,0.095351,0.0,0.341617,0.035327,0.152631,0.306754,0.306754,0.0,0.065156
RG046,medium,False,6,4,3,D3-2:strong-remote,1,2,0,2,0.027392,0.0,0.192326,0.010713,0.036938,0.08547,0.08547,0.0,0.021596
RG046,low,False,6,4,3,D3-2:strong-remote,1,2,0,2,0.001466,0.0,0.044763,0.000622,0.001879,0.004653,0.004653,0.0,0.001125
RG047,high,False,6,4,4,D3-2:strong-remote,1,2,0,2,0.096988,0.0,0.343372,0.029731,0.167945,0.309995,0.309995,0.0,0.068013
RG047,medium,False,6,4,4,D3-2:strong-remote,1,2,0,2,0.02971,0.0,0.198326,0.008446,0.045734,0.091062,0.091062,0.0,0.024701
RG047,low,False,6,4,4,D3-2:strong-remote,1,2,0,2,0.001627,0.0,0.047089,0.000621,0.002153,0.00508,0.00508,0.0,0.001282
RG048,high,False,6,4,4,D3-2:strong-remote,1,3,0,2,0.092337,0.003188,0.335346,0.017001,0.230877,0.190627,0.343652,0.033019,0.065972
RG048,medium,False,6,4,4,D3-2:strong-remote,1,3,0,2,0.030034,0.00093,0.200101,0.004606,0.061194,0.080437,0.097211,0.00093,0.026461
RG048,low,False,6,4,4,D3-2:strong-remote,1,3,0,2,0.001626,3.5e-05,0.047338,0.000356,0.002974,0.004562,0.005375,3.5e-05,0.001377
RG049,high,False,6,4,4,D3-2:strong-remote,1,4,0,2,0.093455,0.00635,0.337382,0.015731,0.239333,0.186499,0.347409,0.036188,0.067117
RG049,medium,False,6,4,4,D3-2:strong-remote,1,4,0,2,0.03079,0.002995,0.202001,0.002995,0.07329,0.063647,0.103521,0.010287,0.027311
RG049,low,False,6,4,4,D3-2:strong-remote,1,4,0,2,0.00178,7.5e-05,0.049434,0.000189,0.004071,0.004141,0.005976,0.000311,0.001603
