graph_id,evidence_level,agent,agent_rho,p_R,p_G,p_B,entropy,kl_to_A0,kl_to_A4,preferred_color_template,is_tree,edge_count
G12,low,A3,0.75,0.323097,0.353807,0.323097,1.097678,0.000934,2e-06,0-2-1-1,False,5
G12,low,A4,1.0,0.322565,0.35487,0.322565,1.097579,0.001033,0.0,0-2-1-1,False,5
G13,high,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.323493,0-2-1-0,True,4
G13,high,A1,0.25,0.49245,0.253775,0.253775,1.04484,0.053772,0.115929,0-2-1-0,True,4
G13,high,A2,0.5,0.620158,0.189921,0.189921,0.927274,0.171339,0.023746,0-2-1-0,True,4
G13,high,A3,0.75,0.690267,0.154867,0.154867,0.833578,0.265034,0.002293,0-2-1-0,True,4
G13,high,A4,1.0,0.720968,0.139516,0.139516,0.785446,0.313166,0.0,0-2-1-0,True,4
G13,medium,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.022497,0-2-1-0,True,4
G13,medium,A1,0.25,0.38759,0.306205,0.306205,1.092148,0.006464,0.005054,0-2-1-0,True,4
G13,medium,A2,0.5,0.418211,0.290895,0.290895,1.082973,0.015639,0.000736,0-2-1-0,True,4
G13,medium,A3,0.75,0.431812,0.284094,0.284094,1.077657,0.020956,5.9e-05,0-2-1-0,True,4
G13,medium,A4,1.0,0.437206,0.281397,0.281397,1.075339,0.023273,0.0,0-2-1-0,True,4
G13,low,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.000726,0-2-1-0,True,4
G13,low,A1,0.25,0.343248,0.328376,0.328376,1.098392,0.00022,0.000148,0-2-1-0,True,4
G13,low,A2,0.5,0.348403,0.325799,0.325799,1.098105,0.000507,2e-05,0-2-1-0,True,4
G13,low,A3,0.75,0.3506,0.3247,0.3247,1.097947,0.000665,2e-06,0-2-1-0,True,4
G13,low,A4,1.0,0.351456,0.324272,0.324272,1.09788,0.000733,0.0,0-2-1-0,True,4
G14,high,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.467161,0-1-2-0,False,5
G14,high,A1,0.25,0.532411,0.210901,0.256688,1.012907,0.085705,0.156551,0-1-2-0,False,5
G14,high,A2,0.5,0.678283,0.14525,0.176467,0.849638,0.248975,0.03082,0-1-2-0,False,5
G14,high,A3,0.75,0.752803,0.116273,0.130924,0.730144,0.368469,0.002938,0-1-2-0,False,5
G14,high,A4,1.0,0.784236,0.104758,0.111006,0.67096,0.427652,0.0,0-1-2-0,False,5
G14,medium,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.050253,0-1-2-0,False,5
G14,medium,A1,0.25,0.417157,0.285329,0.297513,1.083226,0.015386,0.010792,0-1-2-0,False,5
G14,medium,A2,0.5,0.463155,0.264455,0.27239,1.062484,0.036129,0.001486,0-1-2-0,False,5
G14,medium,A3,0.75,0.482616,0.256656,0.260728,1.05115,0.047462,0.000116,0-1-2-0,False,5
G14,medium,A4,1.0,0.49013,0.253806,0.256064,1.046362,0.05225,0.0,0-1-2-0,False,5
G14,low,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.00241,0-1-2-0,False,5
G14,low,A1,0.25,0.35191,0.323569,0.32452,1.097842,0.00077,0.000465,0-1-2-0,False,5
G14,low,A2,0.5,0.361311,0.318963,0.319726,1.096874,0.001739,5.9e-05,0-1-2-0,False,5
G14,low,A3,0.75,0.365114,0.317164,0.317722,1.096373,0.002239,4e-06,0-1-2-0,False,5
G14,low,A4,1.0,0.366554,0.316493,0.316953,1.096167,0.002445,0.0,0-1-2-0,False,5
G15,high,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.604972,0-2-1-1,False,6
G15,high,A1,0.25,0.213034,0.573931,0.213034,0.977504,0.121109,0.178747,0-2-1-1,False,6
G15,high,A2,0.5,0.134692,0.730616,0.134692,0.769368,0.329244,0.030442,0-2-1-1,False,6
G15,high,A3,0.75,0.099257,0.801486,0.099257,0.635935,0.462677,0.002654,0-2-1-1,False,6
G15,high,A4,1.0,0.085274,0.829451,0.085274,0.574971,0.523641,0.0,0-2-1-1,False,6
G15,medium,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.077109,0-2-1-1,False,6
G15,medium,A1,0.25,0.277334,0.445331,0.277334,1.071625,0.026987,0.013782,0-2-1-1,False,6
G15,medium,A2,0.5,0.249907,0.500186,0.249907,1.039592,0.05902,0.001581,0-2-1-1,False,6
G15,medium,A3,0.75,0.239603,0.520793,0.239603,1.024443,0.074169,0.000112,0-2-1-1,False,6
G15,medium,A4,1.0,0.23586,0.52828,0.23586,1.018518,0.080094,0.0,0-2-1-1,False,6
G15,low,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.004417,0-2-1-1,False,6
G15,low,A1,0.25,0.31982,0.36036,0.31982,1.09699,0.001623,0.000706,0-2-1-1,False,6
G15,low,A2,0.5,0.313723,0.372554,0.313723,1.095213,0.003399,7.6e-05,0-2-1-1,False,6
G15,low,A3,0.75,0.311524,0.376952,0.311524,1.094416,0.004196,5e-06,0-2-1-1,False,6
G15,low,A4,1.0,0.310737,0.378527,0.310737,1.094111,0.004502,0.0,0-2-1-1,False,6
G16,high,A0,0.0,0.098391,0.803217,0.098391,0.63231,0.0,0.275704,0-2-0-2,True,4
G16,high,A1,0.25,0.161111,0.677778,0.161111,0.85188,0.04381,0.113491,0-2-0-2,True,4
G16,high,A2,0.5,0.22222,0.555559,0.22222,0.995023,0.157286,0.026232,0-2-0-2,True,4
G16,high,A3,0.75,0.260992,0.478017,0.260992,1.053992,0.261132,0.002721,0-2-0-2,True,4
G16,high,A4,1.0,0.279351,0.441299,0.279351,1.073502,0.318717,0.0,0-2-0-2,True,4
G16,medium,A0,0.0,0.252817,0.494367,0.252817,1.043562,0.0,0.024034,0-2-0-2,True,4
G16,medium,A1,0.25,0.2821,0.4358,0.2821,1.075955,0.006883,0.00511,0-2-0-2,True,4
G16,medium,A2,0.5,0.297607,0.404787,0.297607,1.087475,0.01616,0.000722,0-2-0-2,True,4
G16,medium,A3,0.75,0.304275,0.39145,0.304275,1.091207,0.021372,5.7e-05,0-2-0-2,True,4
G16,medium,A4,1.0,0.306883,0.386233,0.306883,1.092464,0.023614,0.0,0-2-0-2,True,4
G16,low,A0,0.0,0.316292,0.367417,0.316292,1.09604,0.0,0.000748,0-2-0-2,True,4
G16,low,A1,0.25,0.321408,0.357184,0.321408,1.097347,0.000226,0.00015,0-2-0-2,True,4
G16,low,A2,0.5,0.324015,0.35197,0.324015,1.097838,0.000516,2.1e-05,0-2-0-2,True,4
G16,low,A3,0.75,0.325116,0.349769,0.325116,1.098009,0.000675,2e-06,0-2-0-2,True,4
G16,low,A4,1.0,0.325543,0.348914,0.325543,1.09807,0.000742,0.0,0-2-0-2,True,4
G17,high,A0,0.0,0.098391,0.803217,0.098391,0.63231,0.0,0.284384,0-2-0-2,False,5
G17,high,A1,0.25,0.162136,0.675727,0.162136,0.854817,0.045179,0.117139,0-2-0-2,False,5
G17,high,A2,0.5,0.227588,0.544824,0.227588,1.004628,0.170223,0.02407,0-2-0-2,False,5
G17,high,A3,0.75,0.26721,0.46558,0.26721,1.061207,0.280029,0.001839,0-2-0-2,False,5
G17,high,A4,1.0,0.282279,0.435441,0.282279,1.076111,0.328408,0.0,0-2-0-2,False,5
G17,medium,A0,0.0,0.252817,0.494367,0.252817,1.043562,0.0,0.019457,0-2-0-2,False,5
G17,medium,A1,0.25,0.282134,0.435733,0.282134,1.075984,0.006899,0.003129,0-2-0-2,False,5
G17,medium,A2,0.5,0.296245,0.40751,0.296245,1.086622,0.015187,0.000237,0-2-0-2,False,5
G17,medium,A3,0.75,0.300439,0.399122,0.300439,1.089151,0.018283,1.1e-05,0-2-0-2,False,5
G17,medium,A4,1.0,0.301582,0.396836,0.301582,1.089789,0.019178,0.0,0-2-0-2,False,5
G17,low,A0,0.0,0.316292,0.367417,0.316292,1.09604,0.0,0.0003,0-2-0-2,False,5
G17,low,A1,0.25,0.321151,0.357698,0.321151,1.097292,0.000204,9e-06,0-2-0-2,False,5
