graph_id,n_nodes,evidence_level,agent,agent_rho,p_R,p_G,p_B,entropy,kl_to_A0,kl_to_A4,D1_target_degree,D2_neighbor_coupling,D3_remote_class,S2_count,e12,e22,radius,preferred_color_template
RG007,5,high,A4,1.0,0.3337,0.33315,0.33315,1.098612,0.354642,0.0,4,2,D3-0:no-remote,0,0,0,1,0-0-2-1
RG007,5,medium,A0,0.0,0.20363,0.398185,0.398185,1.057395,0.0,0.022405,4,2,D3-0:no-remote,0,0,0,1,0-0-2-1
RG007,5,medium,A1,0.25,0.244991,0.377505,0.377505,1.080097,0.005035,0.006694,4,2,D3-0:no-remote,0,0,0,1,0-0-2-1
RG007,5,medium,A2,0.5,0.274987,0.362506,0.362506,1.090697,0.014551,0.001165,4,2,D3-0:no-remote,0,0,0,1,0-0-2-1
RG007,5,medium,A3,0.75,0.290371,0.354815,0.354815,1.094361,0.021204,0.000102,4,2,D3-0:no-remote,0,0,0,1,0-0-2-1
RG007,5,medium,A4,1.0,0.296882,0.351559,0.351559,1.095564,0.024368,0.0,4,2,D3-0:no-remote,0,0,0,1,0-0-2-1
RG007,5,low,A0,0.0,0.300907,0.349546,0.349546,1.096205,0.0,0.000187,4,2,D3-0:no-remote,0,0,0,1,0-0-2-1
RG007,5,low,A1,0.25,0.3052,0.3474,0.3474,1.096805,4.4e-05,5e-05,4,2,D3-0:no-remote,0,0,0,1,0-0-2-1
RG007,5,low,A2,0.5,0.307967,0.346017,0.346017,1.097145,0.000118,8e-06,4,2,D3-0:no-remote,0,0,0,1,0-0-2-1
RG007,5,low,A3,0.75,0.309289,0.345356,0.345356,1.097295,0.000166,1e-06,4,2,D3-0:no-remote,0,0,0,1,0-0-2-1
RG007,5,low,A4,1.0,0.30983,0.345085,0.345085,1.097354,0.000188,0.0,4,2,D3-0:no-remote,0,0,0,1,0-0-2-1
RG008,5,high,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.459658,3,2,D3-1:tree-like-remote,1,1,0,2,0-1-2-1
RG008,5,high,A1,0.25,0.199414,0.528954,0.271632,1.012416,0.086196,0.151724,3,2,D3-1:tree-like-remote,1,1,0,2,0-1-2-1
RG008,5,high,A2,0.5,0.128219,0.675332,0.196449,0.848158,0.250454,0.029243,3,2,D3-1:tree-like-remote,1,1,0,2,0-1-2-1
RG008,5,high,A3,0.75,0.103092,0.748691,0.148217,0.73389,0.364722,0.002783,3,2,D3-1:tree-like-remote,1,1,0,2,0-1-2-1
RG008,5,high,A4,1.0,0.09504,0.778973,0.125987,0.679236,0.419377,0.0,3,2,D3-1:tree-like-remote,1,1,0,2,0-1-2-1
RG008,5,medium,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.045976,3,2,D3-1:tree-like-remote,1,1,0,2,0-1-2-1
RG008,5,medium,A1,0.25,0.282323,0.405328,0.312349,1.08655,0.012063,0.011461,3,2,D3-1:tree-like-remote,1,1,0,2,0-1-2-1
RG008,5,medium,A2,0.5,0.254982,0.451079,0.293938,1.067452,0.03116,0.001701,3,2,D3-1:tree-like-remote,1,1,0,2,0-1-2-1
RG008,5,medium,A3,0.75,0.2446,0.471924,0.283477,1.056172,0.04244,0.000137,3,2,D3-1:tree-like-remote,1,1,0,2,0-1-2-1
RG008,5,medium,A4,1.0,0.240951,0.480178,0.278871,1.05129,0.047322,0.0,3,2,D3-1:tree-like-remote,1,1,0,2,0-1-2-1
RG008,5,low,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.000979,3,2,D3-1:tree-like-remote,1,1,0,2,0-1-2-1
RG008,5,low,A1,0.25,0.326653,0.344462,0.328885,1.098331,0.000281,0.000214,3,2,D3-1:tree-like-remote,1,1,0,2,0-1-2-1
RG008,5,low,A2,0.5,0.323163,0.350603,0.326234,1.09794,0.000673,3e-05,3,2,D3-1:tree-like-remote,1,1,0,2,0-1-2-1
RG008,5,low,A3,0.75,0.321758,0.353269,0.324973,1.097719,0.000894,2e-06,3,2,D3-1:tree-like-remote,1,1,0,2,0-1-2-1
RG008,5,low,A4,1.0,0.321234,0.354313,0.324453,1.097624,0.000988,0.0,3,2,D3-1:tree-like-remote,1,1,0,2,0-1-2-1
RG009,5,high,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.547646,3,2,D3-2:strong-remote,1,2,0,2,0-2-1-1
RG009,5,high,A1,0.25,0.204738,0.584309,0.210953,0.966952,0.131661,0.137784,3,2,D3-2:strong-remote,1,2,0,2,0-2-1-1
RG009,5,high,A2,0.5,0.121404,0.742952,0.135645,0.747724,0.350888,0.014263,3,2,D3-2:strong-remote,1,2,0,2,0-2-1-1
RG009,5,high,A3,0.75,0.092711,0.795805,0.111484,0.646836,0.451776,0.000758,3,2,D3-2:strong-remote,1,2,0,2,0-2-1-1
RG009,5,high,A4,1.0,0.084232,0.810892,0.104876,0.614878,0.483734,0.0,3,2,D3-2:strong-remote,1,2,0,2,0-2-1-1
RG009,5,medium,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.052223,3,2,D3-2:strong-remote,1,2,0,2,0-2-1-1
RG009,5,medium,A1,0.25,0.275127,0.437302,0.287571,1.075159,0.023453,0.006385,3,2,D3-2:strong-remote,1,2,0,2,0-2-1-1
